Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
-----------------------------------------------
                0.00    0.00      80/266         std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&) [49]
                0.00    0.00     186/266         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_insert_unique_pos(char const&) [31]
[20]     0.0    0.00    0.00     266         std::less<char>::operator()(char const&, char const&) const [20]
-----------------------------------------------
                0.00    0.00     115/266         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_insert_unique_pos(char const&) [31]
                0.00    0.00     151/266         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node_base const*) [37]
[21]     0.0    0.00    0.00     266         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node<char> const*) [21]
                0.00    0.00     266/266         std::_Rb_tree_node<char>::_M_valptr() const [19]
                0.00    0.00     266/517         std::_Identity<char>::operator()(char const&) const [10]
-----------------------------------------------
                0.00    0.00     237/237         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_begin() [23]
[22]     0.0    0.00    0.00     237         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_mbegin() const [22]
-----------------------------------------------
                0.00    0.00      66/237         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::~_Rb_tree() [81]
